host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Private room,1,2,1,900,$105.00,9,TRUE,83,9,6,9,9,10,9
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Private room,1,2,1,NA,$105.00,18,TRUE,84,8,7,9,9,10,8
195095,2010-08-08,within an hour,FALSE,13,13,Church-Yonge Corridor,Entire home/apt,1,3,1,NA,$121.00,55,TRUE,93,10,9,10,10,10,9
237587,2010-09-17,within a day,FALSE,1,1,Niagara,Private room,1,2,1,NA,$54.00,24,TRUE,98,10,10,10,10,10,10
304551,2010-11-29,within a few hours,TRUE,6,6,Niagara,Private room,0.5,1,1,NA,$65.00,22,TRUE,97,9,9,10,10,9,10
312769,2010-12-08,within an hour,FALSE,1,1,Moss Park,Entire home/apt,2.5,9,4,1485,$350.00,103,TRUE,96,10,9,10,10,10,10
304551,2010-11-29,within a few hours,TRUE,6,6,Niagara,Private room,0.5,1,1,NA,$65.00,16,TRUE,95,10,9,10,10,10,9
318911,2010-12-14,within an hour,TRUE,2,2,Palmerston-Little Italy,Private room,1,1,1,192,$56.00,65,TRUE,98,10,10,10,10,10,10
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Entire home/apt,1,3,1,NA,$121.00,46,TRUE,91,9,9,10,10,10,9
368707,2011-01-30,within an hour,TRUE,2,2,Dufferin Grove,Entire home/apt,1,2,1,NA,$144.00,272,TRUE,97,10,10,10,10,10,10
431260,2011-03-08,within a day,FALSE,1,1,Niagara,Entire home/apt,1,2,1,NA,$107.00,29,TRUE,96,9,9,9,9,10,9
544254,2011-04-29,N/A,FALSE,1,1,Niagara,Entire home/apt,1,2,1,850,$144.00,6,TRUE,87,9,7,10,10,10,8
93825,2010-03-15,within an hour,TRUE,2,2,Briar Hill-Belgravia,Private room,1,1,1,NA,$62.00,88,TRUE,92,9,10,10,10,9,9
511506,2011-04-15,within a day,TRUE,1,1,Niagara,Entire home/apt,2,5,3,1400,$239.00,121,TRUE,99,10,10,10,10,10,10
349172,2011-01-16,within an hour,FALSE,1,1,South Riverdale,Entire home/apt,2,6,2,0,$175.00,18,TRUE,98,10,10,10,10,9,10
455397,2011-03-21,N/A,FALSE,1,1,Annex,Entire home/apt,1,2,1,NA,$160.00,6,TRUE,100,10,10,10,10,10,10
575127,2011-05-10,N/A,FALSE,3,3,High Park North,Entire home/apt,1,2,1,NA,$64.00,12,TRUE,98,9,9,10,10,10,10
576192,2011-05-10,within a few hours,TRUE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,$105.00,34,TRUE,91,9,9,9,9,10,10
174063,2010-07-20,within an hour,TRUE,3,3,South Parkdale,Entire home/apt,1,3,1,NA,$125.00,78,TRUE,96,10,10,10,10,9,10
613837,2011-05-22,N/A,FALSE,1,1,Danforth East York,Entire home/apt,1,3,1,NA,$89.00,107,TRUE,95,10,10,10,10,9,10
630920,2011-05-26,within an hour,TRUE,1,1,Yonge-Eglinton,Private room,1,2,2,NA,$60.00,142,TRUE,94,10,10,10,10,10,10
604233,2011-05-19,N/A,FALSE,2,2,Niagara,Entire home/apt,1,2,1,550,$68.00,5,TRUE,90,9,8,9,8,10,9
149566,2010-06-22,within a day,FALSE,3,3,Palmerston-Little Italy,Entire home/apt,1.5,6,3,0,$350.00,10,TRUE,95,9,9,9,10,10,9
676621,2011-06-07,N/A,FALSE,1,1,Little Portugal,Entire home/apt,1,4,3,0,$180.00,5,TRUE,100,10,9,10,10,10,8
436139,2011-03-11,N/A,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,3,1,NA,$121.00,7,TRUE,97,10,9,10,9,10,9
718884,2011-06-19,within a day,FALSE,2,2,Waterfront Communities-The Island,Private room,1,1,1,NA,$80.00,26,TRUE,98,9,9,10,10,10,9
666759,2011-06-05,within an hour,FALSE,1,1,High Park-Swansea,Entire home/apt,1,2,1,0,$80.00,33,TRUE,98,10,10,10,10,10,10
735795,2011-06-23,within an hour,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,2,4,2,1100,$199.00,51,TRUE,90,9,8,9,9,10,9
857989,2011-07-23,N/A,FALSE,1,1,Downsview-Roding-CFB,Private room,1,2,1,NA,$80.00,16,TRUE,98,10,10,10,10,10,10
545074,2011-04-29,N/A,FALSE,2,2,Woburn,Entire home/apt,1,4,2,NA,$80.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
591649,2011-05-15,within a few hours,FALSE,2,2,Humewood-Cedarvale,Entire home/apt,1,2,1,600,$80.00,23,TRUE,92,9,9,10,10,10,9
880070,2011-07-27,within a day,FALSE,1,1,The Beaches,Entire home/apt,1.5,4,2,1496,$180.00,9,TRUE,100,10,10,10,10,10,10
656777,2011-06-02,within an hour,TRUE,5,5,Church-Yonge Corridor,Entire home/apt,1,4,2,NA,$199.00,60,TRUE,98,10,10,10,10,10,10
140602,2010-06-08,within an hour,FALSE,0,0,South Parkdale,Entire home/apt,1,2,1,NA,$235.00,54,TRUE,96,10,10,10,10,10,9
533496,2011-04-25,within a few hours,FALSE,2,2,Junction Area,Entire home/apt,1,3,2,0,$115.00,106,TRUE,98,10,10,10,10,10,10
957466,2011-08-11,within a few hours,FALSE,1,1,Oakridge,Entire home/apt,1,2,1,NA,$80.00,15,TRUE,99,10,10,10,10,10,10
